scale,alpha_S_T,alpha_T_S,gamma_S_T,gamma_T_S,alpha_gamma_combined_S_T,alpha_gamma_combined_T_S,loss_f_S,loss_f_T,gradient_loss
0.0,0.15034285187721252,0.15764999389648438,0.4007478356361389,0.46478813886642456,0.05150580778717995,0.06608033925294876,0.12380628648958926,0.06641585967712088,0.8601838729817279
0.1,0.13361385464668274,0.14987343549728394,0.3248419463634491,0.4275839626789093,0.03390943259000778,0.05731435865163803,0.1771133388080774,0.06641585967712088,0.8685984001754876
0.2,0.12524433434009552,0.14994847774505615,0.23634473979473114,0.3771035075187683,0.020577752962708473,0.05452757701277733,0.307594298464848,0.06641585967712088,0.8845171296198021
0.30000000000000004,0.12392053008079529,0.17041949927806854,0.19848553836345673,0.3842530846595764,0.019833890721201897,0.06625447422266006,0.3859106734060377,0.06641585967712088,0.8962118890084764
0.4,0.1215614601969719,0.20807480812072754,0.1793622374534607,0.3949075937271118,0.019665103405714035,0.0842476412653923,0.41926446953281865,0.06641585967712088,0.9026117232111793
0.5,0.11811583489179611,0.2495470941066742,0.16161400079727173,0.3871850073337555,0.01754964515566826,0.1008981242775917,0.4356854308203305,0.06641585967712088,0.9062240308241714
0.6000000000000001,0.1152498796582222,0.2714928090572357,0.14411452412605286,0.36782458424568176,0.016890475526452065,0.10591257363557816,0.4442498763024668,0.06641585967712088,0.90829092608703
0.7000000000000001,0.11368991434574127,0.27131983637809753,0.1238357201218605,0.3433719277381897,0.013532737269997597,0.09996376186609268,0.4492180368169016,0.06641585967712088,0.9094407127719489
0.8,0.11176735907793045,0.261484295129776,0.10322882980108261,0.31826314330101013,0.010301491245627403,0.09009505808353424,0.45235186422973106,0.06641585967712088,0.9101067956708092
0.9,0.11171460896730423,0.24906642735004425,0.09578754007816315,0.2951221168041229,0.00910287443548441,0.0801122635602951,0.4544716260297439,0.06641585967712088,0.9105102630765736
