scale,alpha_S_T,alpha_T_S,gamma_S_T,gamma_T_S,alpha_gamma_combined_S_T,alpha_gamma_combined_T_S,loss_f_S,loss_f_T,gradient_loss
0.0,1.0,1.0,0.9990801215171814,0.9990801215171814,0.9990801215171814,0.9990801215171814,0.06639620059772303,0.06641585967712088,8.485281037951135e-06
0.1,0.9569347500801086,0.957047164440155,0.9976884126663208,0.9975815415382385,0.9547240138053894,0.9547343254089355,0.12385620647153808,0.06641585967712088,0.28514992485883267
0.2,0.7207055687904358,0.7261714935302734,0.989559531211853,0.9826319217681885,0.7132149338722229,0.7137482166290283,0.2674725317221362,0.06641585967712088,0.6264247277383445
0.30000000000000004,0.39987602829933167,0.4383246600627899,0.9622251987457275,0.8818551898002625,0.3881393373012543,0.39305227994918823,0.3650231388021339,0.06641585967712088,0.828687226237773
0.4,0.2014346867799759,0.302349328994751,0.699999213218689,0.5591115355491638,0.16549363732337952,0.1830449104309082,0.4051510545638011,0.06641585967712088,0.8905262256801324
0.5,0.13470733165740967,0.26882481575012207,0.2931317687034607,0.27676087617874146,0.05056663602590561,0.08069176226854324,0.42214125602334157,0.06641585967712088,0.905182810509939
0.6000000000000001,0.11923637986183167,0.25458312034606934,0.14897683262825012,0.14233539998531342,0.014784346334636211,0.03789200261235237,0.4307082276826527,0.06641585967712088,0.9087767771744694
0.7000000000000001,0.11417929828166962,0.24413500726222992,0.1289435774087906,0.08707500994205475,0.010473854839801788,0.021900415420532227,0.43540767617807624,0.06641585967712088,0.9099057273565302
0.8,0.1123654767870903,0.23586000502109528,0.11535908281803131,0.06586955487728119,0.009156670421361923,0.016143646091222763,0.43836001608078834,0.06641585967712088,0.9103757514450863
0.9,0.11131386458873749,0.2277824431657791,0.10429050773382187,0.05713514983654022,0.008249030448496342,0.013863758184015751,0.4403839595087912,0.06641585967712088,0.9106294927488908
